Catchment,Domain,Indicator,Unit,Sheep + Beef  (SEPP),Sheep + Beef  (Non-SEPP),Dairy (SEPP),Dairy (Non-SEPP),Dairy support/high intensity beef or dairy grazing (SEPP),Dairy support/high intensity beef or dairy grazing (Non-SEPP),Deer (SEPP),Deer (Non-SEPP),Arable/vegetables,Kiwifruit,Other horticulture,Forestry - Exotic,Forestry - Indigenous pre-1990,Forestry - Indigenous post-1989,Parks and Recreation,Wetlands,Urban/road/rail,Lifestyle block or mixed land use (SEPP),Lifestyle block or mixed land use (Non-SEPP),Hydro,Other,Scrub,Custom Land Use A,Custom Land Use B,Custom Land Use C
Ōhiwa Harbour,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Economic,Value-added - Direct & indirect impacts,$/ha/year,696.0,988.0,3360.0,8001.0,585.0,1392.0,326.0,777.0,5792.0,120438.0,31216.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,910.0,1291.0,4550.0,10833.0,792.0,1885.0,444.0,1056.0,7566.0,166639.0,43190.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Economic,Employment - Direct impact,MEC/ha,0.0032,0.0045,0.0118,0.0281,0.0021,0.0049,0.0029,0.0069,0.0262,0.5211,0.1351,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0056,0.008,0.021,0.05,0.0037,0.0087,0.0043,0.0102,0.047,1.0313,0.2673,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0069,0.0098,0.0278,0.0662,0.0048,0.0115,0.005,0.0118,0.0572,1.2935,0.3353,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Economic,Land value,$/ha,10226.0,10226.0,23730.0,23730.0,10226.0,10226.0,26182.0,26182.0,64970.0,112910.0,121823.0,2890.0,1014.0,1014.0,84124.0,0.0,852020.0,130709.0,130709.0,0.0,34401.0,0.0,0.0,0.0,0.0
Rangitāiki,Economic,Income,$/ha,159.26080000000002,223.9605,692.8016,1649.8072,102.8412,239.9628,145.8468,347.0148,976.474,19960.2144,5174.8704,47.45099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Environmental,N loss,kg/ha/year,36.0,36.0,65.0,65.0,28.0,28.0,25.0,25.0,60.0,25.0,27.0,4.4,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Environmental,P loss,kg/ha/year,1.0,1.0,1.1,1.1,2.0,2.0,1.2,1.2,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Rangitāiki,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Rangitāiki,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Rangitāiki,Environmental,Freshwater invertebrates,Scoring,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Rangitāiki,Environmental,Estuarine health,Scoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Environmental,Groundwater quality,Scoring,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Rangitāiki,Environmental,Pressure on water quantity,Scoring,10.0,10.0,3.0,3.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,2.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Rangitāiki,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Rangitāiki,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Rangitāiki,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Rangitāiki,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitāiki,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Economic,Value-added - Direct & indirect impacts,$/ha/year,696.0,988.0,3360.0,8001.0,585.0,1392.0,326.0,777.0,5792.0,120438.0,31216.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,910.0,1291.0,4550.0,10833.0,792.0,1885.0,444.0,1056.0,7566.0,166639.0,43190.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Economic,Employment - Direct impact,MEC/ha,0.0032,0.0045,0.0118,0.0281,0.0021,0.0049,0.0029,0.0069,0.0262,0.5211,0.1351,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0056,0.008,0.021,0.05,0.0037,0.0087,0.0043,0.0102,0.047,1.0313,0.2673,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0069,0.0098,0.0278,0.0662,0.0048,0.0115,0.005,0.0118,0.0572,1.2935,0.3353,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Economic,Land value,$/ha,17030.0,17030.0,39896.0,39896.0,17030.0,17030.0,30391.0,30391.0,114157.0,107553.0,104141.0,6545.0,2352.0,2352.0,14060.0,0.0,2018811.0,158917.0,158917.0,0.0,175439.0,0.0,0.0,0.0,0.0
Tarawera,Economic,Income,$/ha,159.26080000000002,223.9605,692.8016,1649.8072,102.8412,239.9628,145.8468,347.0148,976.474,19960.2144,5174.8704,47.45099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Environmental,N loss,kg/ha/year,25.0,25.0,67.0,67.0,28.0,28.0,25.0,25.0,60.0,25.0,27.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Environmental,P loss,kg/ha/year,2.7,2.7,1.2,1.2,2.0,2.0,1.5,1.5,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Tarawera,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Tarawera,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Tarawera,Environmental,Freshwater invertebrates,Scoring,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Tarawera,Environmental,Estuarine health,Scoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Environmental,Groundwater quality,Scoring,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Tarawera,Environmental,Pressure on water quantity,Scoring,10.0,10.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Tarawera,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Tarawera,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Tarawera,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Tarawera,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarawera,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Economic,Value-added - Direct & indirect impacts,$/ha/year,614.0,872.0,3302.0,7862.0,575.0,1368.0,293.0,697.0,5110.0,115919.0,30044.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,745.0,1057.0,4106.0,9777.0,715.0,1701.0,367.0,874.0,6194.0,147212.0,38155.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Economic,Employment - Direct impact,MEC/ha,0.0032,0.0045,0.0118,0.0281,0.0021,0.0049,0.0035,0.0084,0.0264,0.3529,0.0915,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Economic,Employment - Direct & indirect impacts,MEC/ha,0.005,0.0071,0.0207,0.0492,0.0036,0.0086,0.0046,0.011,0.0418,0.8425,0.2184,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0059,0.0084,0.0261,0.0621,0.0045,0.0108,0.0051,0.0122,0.0492,1.0563,0.2738,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Economic,Land value,$/ha,34904.0,34904.0,49536.0,49536.0,34904.0,34904.0,39783.0,39783.0,410689.0,282110.0,270508.0,14925.0,1150.0,1150.0,956826.0,0.0,9508197.0,698603.0,698603.0,0.0,461706.0,0.0,0.0,0.0,0.0
Tauranga Moana,Economic,Income,$/ha,159.26080000000002,223.9605,692.8016,1649.8072,102.8412,239.9628,176.022,422.45279999999997,983.928,13517.4816,3504.816,31.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Environmental,N loss,kg/ha/year,25.0,25.0,58.0,58.0,28.0,28.0,25.0,25.0,60.0,25.0,27.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Environmental,P loss,kg/ha/year,2.7,2.7,2.6,2.6,2.0,2.0,1.2,1.2,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Tauranga Moana,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Tauranga Moana,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,8.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Tauranga Moana,Environmental,Freshwater invertebrates,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,10.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Tauranga Moana,Environmental,Estuarine health,Scoring,4.0,6.0,2.0,4.0,2.0,4.0,4.0,6.0,2.0,6.0,8.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Tauranga Moana,Environmental,Groundwater quality,Scoring,6.0,4.0,2.0,2.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,8.0,8.0,8.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Tauranga Moana,Environmental,Pressure on water quantity,Scoring,10.0,10.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Tauranga Moana,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Tauranga Moana,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Tauranga Moana,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Tauranga Moana,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Tauranga Moana,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Economic,Value-added - Direct & indirect impacts,$/ha/year,625.0,888.0,3337.0,7945.0,581.0,1383.0,312.0,743.0,5203.0,123449.0,31996.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,809.0,1148.0,4447.0,10589.0,774.0,1843.0,419.0,997.0,6731.0,168194.0,43593.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Economic,Employment - Direct impact,MEC/ha,0.0034,0.0048,0.0118,0.0281,0.0021,0.0049,0.0023,0.0055,0.0279,0.6533,0.1693,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0052,0.0074,0.0206,0.049,0.0036,0.0085,0.0035,0.0083,0.0433,1.1599,0.3006,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0068,0.0096,0.0301,0.0717,0.0052,0.0125,0.0044,0.0105,0.0564,1.5419,0.3996,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Economic,Land value,$/ha,14202.0,14202.0,21774.0,21774.0,14202.0,14202.0,31398.0,31398.0,124485.0,134011.0,120602.0,7160.0,949.0,949.0,232192.0,0.0,3295311.0,308198.0,308198.0,0.0,389038.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Economic,Income,$/ha,169.2146,238.89119999999997,692.8016,1649.8072,102.8412,239.9628,115.6716,276.606,1039.833,25024.0032,6484.867200000001,86.99350000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,N loss,kg/ha/year,17.0,17.0,68.0,68.0,27.0,27.0,24.0,24.0,59.0,0.0,27.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,P loss,kg/ha/year,1.3,1.3,2.8,2.8,1.8,1.8,2.7,2.7,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,8.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,Freshwater invertebrates,Scoring,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,Estuarine health,Scoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,Groundwater quality,Scoring,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,Pressure on water quantity,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-0.85,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
